index,street_raw,street,street_no,apartment_no
00580.jpg,"west
first",west,812,apt no. 7 2nd flow
00588.jpg,"so. fiqueron.
7",figueroa,116 rea,1 st. flow south
00585.jpg,flower,flower,,om no. 4-2nd flo
00584.jpg,west first,west,820,apt. no. 36-3rd flo
00587.jpg,jo. flower,flower,lei,
00583.jpg,flower,flower,119,ipt. no. 1- south
00589.jpg,west first,west,812,apt. no. 3. 1st. henr.
00586.jpg,"so, flower",flower,sii,1st. floor northe
00592.jpg,west first,west,820,room no. 15a - 2nd fl-
00593.jpg,"so, i lower.",flower,105,2nd floor south wes
00590.jpg,west first,west,820,room no.10. /st. flo
00595.jpg,hers,west,306,"14
2d floor"
00591.jpg,so. ilawver.,flower,105%2,room no... - 1st flo
00594.jpg,s. clay,clay,219,c-north east - 2nd flo
00597.jpg,clay,clay,331-335,
00596.jpg,clay,clay,328/2,"a
upper- reap"
00605.jpg,clay,clay,310,"base me
plook"
00603.jpg,s. clay,clay,219,"d-south east-2"""
00599.jpg,chay,clay,331-335,23185
00606.jpg,clay,clay,306,"77
29 f10011"
00602.jpg,clay,clay,306,"15
20 flook
r"
00600.jpg,clay,clay,331-335-,23183
00608.jpg,chay,clay,331-335,"16182
a"
00607.jpg,,west,331-335,
00613.jpg,"clay
(south",clay,219,"f-
south east
- 1st"
00614.jpg,s. clay,clay,219,north west - 2nd
00617.jpg,clay,clay,306,
00615.jpg,s. clay,clay,219,forth west - third floor
00611.jpg,2-Feb,west,306,"16
2d floor"
00609.jpg,clay,clay,331-335,100
00616.jpg,clay,clay,306,"lower
level"
00612.jpg,clay,clay,306,"71
1st floor"
00610.jpg,chay,clay,331-335,&
00621.jpg,clay,clay,306,base ment floor
00622.jpg,s. clay,clay,219,south west- 3rd floo
00618.jpg,clay,clay,331-335,12
00633.jpg,clay,clay,345,23184
00627.jpg,hoto,hope,30.6,"2
lower
lever"
00624.jpg,clay,clay,306,"3
lower
love/"
00626.jpg,clay,clay,331-335,
00625.jpg,clay,clay,331-335,23191
00634.jpg,clay,clay,330/2,no. side - lower
00635.jpg,clay,clay,332/2,"687
2d floor"
00619.jpg,clay,clay,331-335,"6
23192"
00628.jpg,clay,clay,306,po
00620.jpg,the 15,hope,90e,"12
1st moor"
00632.jpg,@bay,clay,331-335,335 floor
00623.jpg,clay,clay,306,"a
1st floor"
00640.jpg,clay,clay,332,7408
00637.jpg,clay,clay,345,"109
23182"
00645.jpg,"chay
l",clay,345,"207
2316"
00641.jpg,clay st.,clay,350,front
00643.jpg,clay,clay,331-335,19
00636.jpg,chay,clay,331-335,22
00639.jpg,chax,clay,381-335,"33/
1 floor"
00638.jpg,chay,clay,3,23183
00642.jpg,clay,clay,3322,1th rear 2d floor
00649.jpg,clay,clay,332/2,front 21 fla
00648.jpg,clay,clay,354,front
00653.jpg,clay,clay,331-335,"21
34466"
00656.jpg,help,hope,332/2,"5
2d floor front"
00647.jpg,clay,clay,334 12,"pont
1st floor"
00651.jpg,clay,clay,345,"209
23168"
00652.jpg,chay,clay,331-335,20
00655.jpg,clay st.,clay,340,front
00658.jpg,teto,west,345,306
00646.jpg,chay,clay,331-335,8
00657.jpg,clay,clay,334,"front
mgr."
00654.jpg,chay,clay,345,18
00667.jpg,clay,clay,,
00664.jpg,clay,clay,345,308
00665.jpg,chay,clay,-345,"07
23180"
00669.jpg,clay,clay,306,"21
3d floor"
00660.jpg,clay st.,clay,338-336,front
00661.jpg,clay,clay,328/2,pper-front
00668.jpg,chay,clay,345,60e
00662.jpg,clay,clay,345,"106
23179"
00666.jpg,hep,hope,328/2,"n
2.
24 hoor"
00677.jpg,clay,clay,306,3d floor
00673.jpg,clay,clay,306,"6
lower level"
00670.jpg,heto,west,306,"n
lower level"
00659.jpg,chay,clay,345,305
00672.jpg,chay,clay,331-335,
00663.jpg,chay,clay,345,307
00674.jpg,clay,clay,306,"20
jo"
00671.jpg,chay,clay,331-335,21
00676.jpg,clay,clay,219,e-north east-
00679.jpg,clay,clay,331-335,88186
00689.jpg,alpine st,west,,
00678.jpg,chay,clay,331-335,"room a
23187"
00682.jpg,so. fiqueron.,figueroa,108,"apt. no. 16-2²
flo"
00701.jpg,s.flower,flower,330,60= 4 floor kra-
00681.jpg,so. hower,flower,125,st. floor worth
00675.jpg,s. clay,clay,-2.19,south west - 2
00680.jpg,clay,clay,306,"19
34 flook"
00692.jpg,so. figueroa,figueroa,108,room no.15 2nd flo
00693.jpg,figueroa,figueroa,801,apt. no.1- / st floo
00683.jpg,10. flowve,flower,ext,2nd flo
00694.jpg,50.flower,flower,210,"apt 409
1147"
00709.jpg,50. flower,flower,ofe,apt # 514
00707.jpg,flower,flower,219,310
00696.jpg,30. flower,flower,236,"apt. # 32-
4th floor"
00699.jpg,so flower st,flower,237,"216
408"
00695.jpg,"sflower,",flower,368,"20, 2
too gooding oc"
00705.jpg,0,west,///,1.floor south (ter
00698.jpg,flower st,flower,219,2071
00708.jpg,so. flower,flower,224,"apt. 36
1113"
00704.jpg,so. flower,flower,517-519,Mar-00
00706.jpg,flower,flower,219,214
00702.jpg,so. flower,flower,129,st floor north
00700.jpg,so. flowery se,flower,247-51,"a
2211"
00711.jpg,so.flower,flower,-210,apt. 502
00718.jpg,flower se,flower,biz,307
00715.jpg,so. flower st.,flower,230,"apt #
19"
00721.jpg,so. flower st.,flower,237,209
00713.jpg,so. flower,flower,,apt. # 10.
00720.jpg,so flower,flower,210,apt # 2/1
00712.jpg,s. flower,flower,306,2nd floor non-
00717.jpg,50. flower,flower,224,"apt. 24
143"
00710.jpg,5o. flower.,flower,129,"toom no. 3-2 flo
/"
00719.jpg,s. flower,flower,308,the world c
00726.jpg,"so, i lower.",flower,105,2nd flow south wes
00728.jpg,mops,hope,577,246 ds. jlower aft 2
00723.jpg,so flower,flower,210,105
00722.jpg,"s.flower
s",flower,330,"no forten 8.
-st"
00724.jpg,so. flower st.,flower,247-51,lo
00729.jpg,so. flower st.,flower,234,"apt. # 39
40% flowe"
00730.jpg,so. flower,flower,517-519,"300
3d floor"
00731.jpg,sa flower st,flower,,"apt. #1
1st floor"
00735.jpg,flower se,flower,219,513
00734.jpg,so. flower st,flower,240,"240.
50. flower apt."
00736.jpg,so. flower str,flower,223,c
00725.jpg,so. flower,flower,517-519,"101
1st floor"
00732.jpg,so. flower,flower,224,apt. 17
00733.jpg,s.flower,flower,318,"31, 3 ru floor cer"
00737.jpg,so. flower st,flower,223,p
00738.jpg,30. flower st.,flower,236,"apt. 26
3rd floor"
00745.jpg,so. flower,flower,517-519,re
00743.jpg,sa flowe st.,flower,26 75,
00741.jpg,flower str,flower,219,405
00747.jpg,so. flower,flower,107,st. floor north
00746.jpg,soflower,flower,230,apt. #12
00744.jpg,"so. flower, st.",flower,240,"apt#3
2nd floor."
00748.jpg,so. flower. st.,flower,248-250,"apt # 4
2nd floor"
00740.jpg,so. flower,flower,224,"apt
21"
00749.jpg,flower st,flower,219,308
00750.jpg,50. flower,flower,224,apt
00753.jpg,so. i lower.,flower,113,1st. i lovor.
00752.jpg,50. flower,flower,230,apt. # 8
00751.jpg,so. flowe. st,flower,237,"381
410"
00758.jpg,#NAME?,flower,236,"apt 10
2nd flow"
00757.jpg,so. flower st.,flower,-298,"cete
o"
00762.jpg,so. flower st,flower,245,"[[b
t"
00755.jpg,so. flower,flower,247-57,0
00759.jpg,so. flow r,flower,236,"apt #34
4th flo"
